ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
AboutHelpers;0;2;12;14;2;0;0;6;4;0;0;0;0;0;0;0;0;0;0;0
AboutScreenDocumentTabContent;0;18;144;0;17;0;0;3;66;22;0;1;1;0;0;0;1;0;0;0
AboutScreenDocumentTabContentFactory;0;3;26;0;5;0;0;1;7;1;0;0;0;0;0;0;0;0;0;0
AboutScreenMenuItem;0;1;21;0;1;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0
AbstractIndentationService;0;16;151;14;0;0;0;0;58;23;3;4;5;0;0;0;0;0;1;0
AbstractIndentationService;0;2;34;19;6;0;0;0;19;10;0;0;0;0;0;0;0;0;2;0
AbstractQuickInfoProvider;0;10;112;0;20;0;3;3;47;45;0;0;0;0;0;0;0;0;0;0
AbstractSemanticQuickInfoProvider;0;43;233;11;49;1;0;2;120;19;0;2;2;0;0;0;1;0;1;0
AbstractSemanticQuickInfoProvider;0;7;76;0;0;1;0;2;26;66;0;0;0;0;0;0;0;0;0;0
AbstractSemanticQuickInfoProvider;0;7;26;0;0;1;0;2;8;0;0;0;0;0;0;0;0;0;0;0
AbstractTextStructureNavigatorProvider;0;1;34;0;4;0;0;3;12;6;0;0;0;0;0;0;0;0;0;0
AbstractTextStructureNavigatorProvider;0;41;266;12;0;0;0;3;75;85;7;7;22;0;0;0;7;0;0;5
AccessorUtils;0;7;13;0;7;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0
AcronymSearchHelpers;0;7;23;8;8;0;0;1;4;1;0;0;0;0;0;0;0;0;0;0
ActiveColumnHighlighterService;0;41;207;0;55;0;0;2;76;56;0;0;0;0;0;0;0;0;0;0
ActiveColumnHighlighterServiceProvider;0;1;3;0;1;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0
ActiveColumnHighlighterServiceProviderImpl;0;2;11;0;2;1;0;2;6;0;8;1;1;0;1;0;0;0;0;0
ActiveColumnHighlighterWpfHexViewCreationListener;0;1;9;0;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0
ActiveStatementService;0;6;33;2;10;0;0;6;17;2;0;0;0;0;0;0;0;0;0;0
ActiveStatementTagger;0;2;18;0;4;0;0;2;9;1;0;0;0;0;0;0;0;0;0;0
ActiveStatementTaggerProvider;0;2;14;0;2;0;0;1;4;0;6;1;1;0;1;0;0;0;0;0
AddBreakpointBreakpointCtxMenuCommand;0;1;9;0;2;1;0;3;4;1;0;0;0;0;0;0;0;0;0;0
AddClassBreakpointCtxMenuCommands;0;3;64;0;2;0;0;2;23;4;0;0;0;0;0;0;0;0;0;0
AddClassCommand;0;11;102;0;13;1;0;13;51;0;0;0;0;0;0;0;0;0;0;0
AddClassMembersCommand;0;14;107;0;15;1;0;13;45;0;0;0;0;0;0;0;0;0;0;0
AddClassVM;1;1;14;0;3;2;0;2;10;3;0;0;0;0;0;0;0;0;0;0
AddExceptionControl;0;1;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
AddExceptionsCtxMenuCommand;0;1;9;0;2;1;0;3;4;1;0;0;0;0;0;0;0;0;0;0
AddExceptionVM;0;20;144;0;14;0;0;2;48;24;3;5;5;0;0;0;0;0;0;0
AddExistingNetModuleToAssemblyCommand;1;8;56;0;8;1;0;7;25;1;0;0;0;0;0;0;0;0;0;0
AddMembersCodeVM;0;2;45;0;3;2;0;2;29;1;0;0;0;0;0;0;0;0;0;0
AddMethodBreakpointCtxMenuCommands;0;18;82;0;18;0;0;2;33;4;2;2;2;0;0;0;0;0;0;0
AddNetModuleToAssemblyCommand;0;10;50;0;10;0;2;2;19;1;0;0;0;0;0;0;0;0;0;0
AddNewNetModuleToAssemblyCommand;0;4;51;0;4;1;0;11;24;1;0;0;0;0;0;0;0;0;0;0
AddressILValue;0;3;41;0;15;2;9;13;34;24;0;0;0;0;0;0;0;0;0;0
AddressReference;0;6;24;57;8;0;0;2;7;1;0;0;0;0;0;0;0;0;0;0
AddUpdatedNodesHelper;1;54;134;0;41;0;0;8;53;1;2;3;3;0;0;0;0;0;0;0
AddUpdatedNodesHelperProvider;0;1;14;0;1;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0
AddWatchVariablesWindowCtxMenuCommand;0;1;7;0;2;1;0;3;5;1;0;0;0;0;0;0;0;0;0;0
AdornmentLayer;0;56;164;1;69;0;0;2;95;24;0;0;0;0;0;0;0;0;0;0
AdornmentLayerCollection;0;12;58;7;16;0;0;2;19;0;1;1;1;0;0;0;0;0;0;0
AdornmentLayerDefinitionService;0;3;14;0;3;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0
AdornmentLayerElement;0;2;19;0;2;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0
AdvancedAppSettingsPage;0;1;9;0;1;1;0;1;6;0;10;1;1;0;0;0;0;0;0;0
AdvancedAppSettingsPage;0;1;12;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0
AdvancedAppSettingsPage;0;1;12;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
AdvancedAppSettingsPage;0;1;12;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
AdvancedAppSettingsPageBase;1;7;123;0;2;0;1;3;32;1;0;0;0;0;0;0;0;0;0;0
AggregateValueNodeProvider;0;9;46;0;11;1;0;2;17;0;2;1;1;0;0;0;0;0;0;0
AliasConstants;0;12;41;2;13;0;0;2;17;1;0;0;0;0;0;0;0;0;0;0
AllowBoxSelectionEditorOptionDefinition;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AllTabsMenuItemCommand;0;8;72;2;12;1;0;6;28;13;2;2;2;0;1;0;1;0;0;0
AnalyzeCommand;0;28;142;0;20;0;0;5;71;13;0;1;1;0;0;0;0;0;0;0
AnalyzeCommandLoader;1;10;61;0;23;0;0;4;46;7;0;0;0;0;0;0;0;0;0;0
AnalyzerEntityTreeNodeComparer;0;1;4;0;2;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0
AnalyzerService;0;57;244;0;75;0;0;3;107;184;2;3;6;0;0;0;5;0;0;0
AnalyzerSettings;0;5;55;0;3;1;1;3;17;3;0;0;0;0;0;0;0;0;0;0
AnalyzerSettingsImpl;0;2;26;0;2;2;0;3;21;0;0;0;0;0;0;0;0;0;0;0
AnalyzerToolWindowContent;0;2;17;0;3;1;0;4;6;0;0;0;0;0;0;0;0;0;0;0
