ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
EnglishArticle;0;11;84;10;13;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
ByteRate;0;4;40;37;5;0;0;1;10;0;0;0;0;0;0;0;0;0;0;0
ByteSizeExtensions;0;3;207;55;53;0;0;1;106;28;0;0;0;0;0;0;0;0;0;0
CasingExtensions;0;6;19;24;6;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0
CollectionHumanizeExtensions;0;5;43;35;10;0;0;1;20;0;0;0;0;0;0;0;0;0;0;0
CollectionFormatterRegistry;0;1;17;0;0;1;0;0;22;0;0;0;0;0;0;0;0;0;0;0
Configurator;0;1;76;33;2;0;0;9;14;1;1;1;1;0;0;0;0;0;0;0
DateToOrdinalWordsConverterRegistry;0;1;9;0;0;1;0;0;8;0;0;0;0;0;0;0;0;0;0;0
FormatterRegistry;0;1;55;0;2;1;0;0;61;1;0;0;0;0;0;0;0;0;0;0
LocaliserRegistry;0;4;41;33;8;0;0;0;13;4;4;2;2;0;0;0;0;0;0;0
NumberToWordsConverterRegistry;0;1;37;0;0;1;0;0;62;0;13;6;6;0;0;0;0;0;0;0
OrdinalizerRegistry;0;1;16;0;0;1;0;0;22;0;0;0;0;0;0;0;0;0;0;0
DateHumanizeExtensions;0;4;39;43;7;0;0;1;13;0;0;0;0;0;0;0;0;0;0;0
DateTimeHumanizeAlgorithms;0;35;130;7;36;0;0;4;41;0;0;0;0;0;0;0;0;0;0;0
DefaultDateTimeHumanizeStrategy;1;16;39;17;16;0;0;1;21;0;0;0;0;0;0;0;0;0;0;0
DefaultDateTimeOffsetHumanizeStrategy;0;1;7;30;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
PrecisionDateTimeHumanizeStrategy;0;1;12;36;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0
PrecisionDateTimeOffsetHumanizeStrategy;0;1;12;36;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0
DateToOrdinalWordsExtensions;0;1;11;50;2;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0
EnumDehumanizeExtensions;0;3;21;44;5;0;0;0;11;0;4;1;1;0;0;0;0;0;0;0
EnumHumanizeExtensions;0;12;80;17;15;0;0;1;38;3;3;3;3;0;0;0;2;0;1;0
In;0;1;7;41;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
In;0;1;99;42;12;0;0;0;36;66;0;0;0;0;0;0;0;0;0;0
In;0;1;593;42;0;0;0;0;210;91;0;0;0;0;0;0;0;0;0;0
On;0;1;1551;42;0;0;0;0;390;0;0;0;0;0;0;0;0;0;0;0
PrepositionsExtensions;0;1;19;51;4;0;0;0;8;6;0;0;0;0;0;0;0;0;0;0
