ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
IdentityServerBuilderExtensionsAdditional;0;3;158;46;26;0;0;8;58;276;0;0;0;0;0;0;0;0;0;0
IdentityServerBuilderExtensionsCore;1;5;187;23;16;0;0;88;147;66;3;4;7;0;0;0;1;0;0;0
IdentityServerBuilderExtensionsCrypto;1;20;156;30;30;0;0;0;72;15;0;0;0;0;0;0;0;0;0;0
IdentityServerBuilderExtensionsInMemory;1;4;58;45;11;0;0;6;30;10;1;1;1;0;0;0;0;0;0;0
ConfigureInternalCookieOptions;0;6;46;9;8;0;0;5;9;1;0;0;0;0;0;0;0;0;0;0
PostConfigureInternalCookieOptions;0;2;34;0;2;0;0;4;10;0;0;0;0;0;0;0;0;0;0;0
ConfigureOpenIdConnectOptions;0;3;17;5;3;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0
Decorator;0;1;8;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
DisposableDecorator;0;2;10;0;2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0
IdentityServerBuilder;0;1;8;57;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
IdentityServerServiceCollectionExtensions;1;1;42;40;5;0;0;1;24;3;8;1;4;0;0;0;0;0;0;0
AuthenticationOptions;1;1;11;70;0;0;0;12;1;0;0;0;0;0;0;0;0;0;0;0
CachingOptions;1;1;7;68;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0
CorsOptions;0;1;6;71;0;0;0;4;4;0;14;1;1;0;0;0;0;0;0;0
CspOptions;0;1;5;54;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
DeviceFlowOptions;0;1;5;70;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
DiscoveryOptions;1;1;16;72;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0
EndpointsOptions;1;1;13;81;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0
EventsOptions;0;1;7;77;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
IdentityServerOptions;1;1;17;81;0;0;0;55;12;0;0;0;0;0;0;0;0;0;0;0
InputLengthRestrictions;1;1;27;71;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0
MutualTlsOptions;0;1;5;54;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
UserInteractionOptions;1;1;15;83;0;0;0;12;2;0;0;0;0;0;0;0;0;0;0;0
ValidationOptions;0;1;18;14;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
IdentityServerApplicationBuilderExtensions;0;25;102;12;29;0;0;10;76;10;0;0;0;0;0;0;0;0;0;0
