ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
Activity;0;24;108;16;34;0;1;11;40;76;0;0;0;0;0;0;0;0;0;0
ActivityExts;0;1;10;0;1;0;0;2;5;0;23;3;3;0;0;0;0;0;0;0
CallFunc;0;2;15;0;2;1;0;2;4;0;0;0;0;0;0;0;0;0;0;0
Actor;1;60;315;10;80;0;0;61;137;342;8;8;31;0;10;0;1;0;3;1
CryptoUtil;0;9;186;10;23;0;0;5;134;49;2;4;4;0;0;0;0;0;0;0
Download;0;10;67;4;13;0;0;3;23;4;5;4;4;0;0;0;0;0;0;0
AsyncAction;0;2;18;0;3;0;0;2;6;1;5;1;1;0;1;0;0;0;0;0
DelayedAction;0;2;16;0;3;0;0;2;6;1;5;1;1;0;1;0;0;0;0;0
DelayedImpact;0;2;22;0;3;0;0;3;6;1;4;1;1;0;4;0;0;0;1;0
ExternalMod;0;1;12;0;3;0;0;11;5;0;0;0;0;0;0;0;0;0;0;0
ExternalMods;0;37;163;8;40;0;0;14;108;0;0;1;1;0;1;0;0;0;0;0
Exts;0;57;378;5;107;0;0;22;145;847;2;8;8;0;0;0;0;0;0;0
Enum;0;4;17;5;6;0;0;0;19;3;19;4;4;0;0;0;1;0;2;0
FieldLoader;0;149;625;0;157;0;0;53;269;35;2;10;16;0;4;0;3;0;0;0
TranslateAttribute;0;1;2;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0
FieldFromYamlKeyAttribute;0;1;8;0;0;2;0;3;1;0;0;0;0;0;0;0;0;0;0;0
DictionaryFromYamlKeyAttribute;0;1;9;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0
DescAttribute;0;1;6;0;0;1;0;22;1;0;0;0;0;0;0;0;0;0;0;0
FieldSaver;0;23;101;2;27;0;0;14;61;4;1;2;2;0;4;0;0;0;1;0
Png;0;55;267;2;31;0;0;7;112;11;0;1;1;0;0;0;0;0;0;0
ReplayMetadata;0;8;68;11;7;0;0;7;31;1;0;0;0;0;0;0;0;0;0;0
