ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
ClientActorBase;0;7;47;2;7;1;0;2;8;0;0;0;0;0;0;0;0;0;0;0
ClientAsyncActor;0;4;31;0;0;3;0;2;10;0;42;3;23;0;0;0;8;0;0;4
ClientReceiveActor;0;4;31;0;0;3;0;2;10;0;42;3;23;0;0;0;8;0;0;4
Messages;0;1;6;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0
Program;0;22;221;0;24;0;0;4;102;19;1;4;4;0;0;0;4;0;0;0
SeqNo;0;11;120;43;16;0;0;12;35;34;0;0;0;0;0;0;0;0;0;0
Ack;0;1;16;56;1;0;0;10;8;0;5;1;1;0;0;0;0;0;0;0
ResendBufferCapacityReachedException;0;1;13;40;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
ResendUnfulfillableException;0;1;6;33;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0
AckedSendBuffer;0;4;38;55;7;0;0;2;32;6;7;3;3;0;0;0;0;0;0;0
AckReceiveDeliverable;0;1;12;55;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
AckedReceiveBuffer;0;7;73;38;5;0;0;4;36;3;1;1;1;0;0;0;1;0;0;0
AddressUidExtension;0;1;13;43;2;1;0;5;4;1;0;0;0;0;0;0;0;0;0;0
AddressUid;1;1;4;42;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
AkkaProtocolSettings;0;3;20;45;0;0;0;3;11;0;0;0;0;0;0;0;0;0;0;0
RemoteConfigFactory;0;1;20;31;2;0;0;3;9;1;0;0;0;0;0;0;0;0;0;0
Deadline;0;3;52;42;3;0;0;6;10;1;0;0;0;0;0;0;0;0;0;0
DeadlineFailureDetector;0;4;44;47;3;1;0;1;17;0;0;0;0;0;0;0;0;0;0;0
DefaultFailureDetectorRegistry;0;10;82;29;15;0;0;1;27;13;0;0;0;0;0;0;0;0;0;0
DefaultMessageDispatcher;1;23;104;14;24;0;0;4;31;1;0;1;1;0;0;0;0;0;0;0
EndpointException;0;1;10;50;0;2;6;7;2;0;0;0;0;0;0;0;0;0;0;0
ShutDownAssociation;0;1;11;54;0;3;0;3;1;0;0;0;0;0;0;0;0;0;0;0
InvalidAssociation;0;1;13;56;0;3;0;2;1;0;0;0;0;0;0;0;0;0;0;0
HopelessAssociation;0;1;13;55;0;3;0;2;1;0;0;0;0;0;0;0;0;0;0;0
EndpointDisassociatedException;0;1;7;36;0;3;0;3;1;0;0;0;0;0;0;0;0;0;0;0
EndpointAssociationException;1;1;8;52;0;3;0;2;2;0;0;0;0;0;0;0;0;0;0;0
OversizedPayloadException;0;1;7;36;0;3;0;3;1;0;0;0;0;0;0;0;0;0;0;0
ReliableDeliverySupervisor;1;35;353;28;48;3;0;13;167;0;32;35;169;0;39;0;1;0;0;9
EndpointActor;1;2;40;45;4;3;2;6;13;1;0;0;0;0;0;0;0;0;0;0
EndpointWriter;1;63;578;21;84;4;0;27;201;107;10;17;69;0;22;0;0;0;0;3
EndpointReader;1;19;198;15;29;4;0;15;70;25;21;10;54;0;13;0;16;0;0;1
EndpointManager;1;90;739;26;91;3;0;30;309;28;38;54;459;0;71;0;90;0;2;4
EndpointRegistry;1;23;176;38;39;0;0;3;64;32;8;6;17;0;0;0;2;0;0;0
FailureDetector;1;1;9;62;1;0;2;6;2;0;10;1;1;0;0;0;0;0;0;0
FailureDetectorLoader;0;2;18;57;3;0;0;2;6;1;0;0;0;0;0;0;0;0;0;0
IpExtensions;0;6;35;36;8;0;0;0;12;1;0;0;0;0;0;0;0;0;0;0
MessageSerializer;0;5;34;27;6;0;0;3;15;1;0;0;0;0;0;0;0;0;0;0
PhiAccrualFailureDetector;1;6;133;38;10;1;0;2;33;6;0;0;0;0;0;0;0;0;0;0
HeartbeatHistory;1;5;58;40;3;0;0;3;24;3;0;0;0;0;0;0;0;0;0;0
RemoteActorRef;1;14;113;42;23;2;0;8;42;45;0;0;0;0;0;0;0;0;0;0
RemoteActorRefProvider;1;40;396;33;51;0;0;17;169;140;11;12;50;0;7;0;2;0;0;0
RemoteDeployer;1;7;36;29;8;1;0;1;20;1;0;0;0;0;0;0;0;0;0;0
RemoteDeploymentWatcher;1;2;32;36;0;3;0;1;11;0;31;2;15;0;3;0;1;0;0;0
RemoteMetricsExtension;0;2;15;40;3;1;0;3;7;1;0;0;0;0;0;0;0;0;0;0
RemoteMetricsOn;0;8;52;16;9;0;0;0;18;1;0;0;0;0;0;0;0;0;0;0
RemoteMetricsOff;0;1;6;50;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
RemoteSettings;1;7;107;52;6;0;0;14;56;3;1;2;2;0;0;0;0;0;0;0
DaemonMsgCreate;0;1;14;62;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
RemoteSystemDaemon;1;45;235;15;52;4;0;1;100;0;19;8;57;0;8;0;27;0;2;0
RemoteTransport;0;1;22;72;6;0;1;6;7;15;0;0;0;0;0;0;0;0;0;0
RemoteTransportException;0;1;13;43;0;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0
