ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
HomeController;0;1;9;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
LoginController;0;1;8;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
ComponentsModel;0;1;6;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
SlugifyParameterTransformer;0;2;7;12;2;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0
Startup;1;2;82;2;6;0;0;3;48;10;41;5;57;0;0;0;6;0;0;0
AspNetCoreBenchmarkAttribute;0;4;54;0;0;1;1;7;9;0;0;0;0;0;0;0;0;0;0;0
DefaultCoreConfig;0;1;20;0;0;1;0;1;14;0;0;0;0;0;0;0;0;0;0;0
DefaultCoreDebugConfig;0;1;10;0;0;1;0;1;5;0;0;0;0;0;0;0;0;0;0;0
DefaultCorePerfLabConfig;0;1;24;7;0;1;0;1;14;0;0;0;0;0;0;0;0;0;0;0
DefaultCoreProfileConfig;0;1;14;0;0;1;0;1;9;0;0;0;0;0;0;0;0;0;0;0
DefaultCoreValidationConfig;0;1;8;0;0;1;0;1;4;0;0;0;0;0;0;0;0;0;0;0
ParameterizedJobConfigAttribute;0;1;7;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0
ParamsSummaryColumn;0;1;16;0;5;0;0;2;7;6;0;0;0;0;0;0;0;0;0;0
Program;0;13;75;1;17;0;0;3;37;8;0;0;0;0;0;0;0;0;1;0
ActionSelectorBenchmark;0;19;189;5;25;0;0;0;96;28;0;0;0;0;0;0;0;0;0;0
ControllerActionEndpointDataSourceBenchmark;0;3;116;1;9;0;0;0;41;30;1;2;2;0;0;0;0;0;0;0
HelperPerformanceBenchmark;0;1;14;0;0;1;0;1;4;0;0;0;0;0;0;0;0;0;0;0
RuntimePerformanceBenchmarkBase;0;2;149;0;6;0;1;1;61;54;0;0;0;0;0;0;0;0;0;0
ValidationVisitorBenchmarkBase;0;2;47;0;4;0;2;2;29;3;0;0;0;0;0;0;0;0;0;0
ValidationVisitorByteArrayBenchmark;0;1;26;10;2;1;0;1;8;0;0;0;0;0;0;0;0;0;0;0
ValidationVisitorModelWithValidatedProperties;0;1;64;5;2;1;0;1;12;0;0;0;0;0;0;0;0;0;0;0
AttributesShouldNotBeAppliedToPageModelAnalyzer;0;17;128;0;25;1;0;2;48;36;22;3;37;0;0;0;12;0;0;0
AvoidHtmlPartialAnalyzer;0;6;39;0;6;2;0;4;13;0;43;1;30;0;0;0;9;0;0;0
CodeAnalysisExtensions;0;23;117;0;31;0;0;0;31;6;0;0;0;0;0;0;0;0;0;0
DiagnosticDescriptors;0;1;52;3;0;0;0;4;6;0;0;0;0;0;0;0;0;0;0;0
MvcFacts;0;23;105;2;26;0;0;1;16;4;0;0;0;0;0;0;0;0;0;0
ConfigureMethodAnalysis;0;1;9;0;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0
ConfigureServicesMethodAnalysis;0;1;9;0;0;1;2;3;1;0;0;0;0;0;0;0;0;0;0;0
MiddlewareAnalysis;0;7;33;5;7;2;0;8;11;0;32;2;16;0;0;0;8;0;0;0
MiddlewareItem;0;1;9;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
MvcOptionsAnalysis;0;7;27;0;7;2;0;7;6;0;28;1;11;0;0;0;5;0;0;0
ServicesAnalysis;0;7;33;5;7;2;0;7;11;0;32;2;16;0;0;0;8;0;0;0
ServicesItem;0;1;9;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
StartupAnalysisContext;0;1;12;14;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0
StartupAnalzyer;0;1;11;8;0;1;0;10;1;0;0;0;0;0;0;0;0;0;0;0
StartupAnalzyer;0;4;18;0;6;1;0;10;6;3;0;0;0;0;0;0;0;0;0;0
StartupAnalzyer;0;13;104;11;17;1;0;10;30;10;7;3;9;0;0;0;3;0;0;0
StartupComputedAnalysis;0;1;8;0;0;0;2;4;1;0;0;0;0;0;0;0;0;0;0;0
StartupDiagnosticValidator;0;1;3;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
StartupFacts;0;12;50;1;13;0;0;3;8;0;0;0;0;0;0;0;0;0;0;0
StartupSymbols;0;1;12;0;0;0;0;6;4;0;0;0;0;0;0;0;0;0;0;0
UseMvcDiagnosticValidator;0;9;30;14;9;1;0;9;10;0;3;1;1;0;0;0;1;0;0;0
SymbolNames;0;1;40;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0
TagHelpersInCodeBlocksAnalyzer;0;11;75;3;12;1;0;1;19;1;58;5;104;0;0;0;25;0;0;2
TopLevelParameterNameAnalyzer;0;44;228;5;36;1;0;3;45;13;19;2;54;0;1;0;17;0;0;1
ViewFeatureAnalyzerBase;0;2;23;4;3;1;1;2;7;1;34;1;12;0;0;0;2;0;0;0
ViewFeaturesAnalyzerContext;0;4;31;6;5;0;0;3;6;1;0;0;0;0;0;0;0;0;0;0
ActualApiResponseMetadataFactory;0;47;227;7;56;0;0;4;43;43;0;0;0;0;0;0;0;0;0;0
AddResponseTypeAttributeCodeFixAction;0;28;194;4;35;1;0;4;90;17;1;3;3;0;1;0;1;0;0;0
AddResponseTypeAttributeCodeFixProvider;0;4;25;0;5;1;0;2;5;1;0;0;0;0;0;0;0;0;0;0
ApiActionsDoNotRequireExplicitModelValidationCheckAnalyzer;0;37;168;7;42;1;0;3;31;15;38;2;106;0;1;0;32;0;0;1
ApiActionsDoNotRequireExplicitModelValidationCheckCodeFixProvider;0;3;42;0;4;1;0;1;14;3;0;0;0;0;0;0;0;0;0;0
ApiControllerFacts;0;8;28;0;8;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0
ApiConventionAnalyzer;0;12;85;3;14;1;0;4;25;3;44;2;69;0;3;0;28;0;0;2
ApiDiagnosticDescriptors;0;1;36;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0
ApiSymbolNames;0;1;23;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
SymbolApiConventionMatcher;0;29;144;7;33;0;0;1;28;2;0;0;0;0;0;0;0;0;0;0
SymbolApiResponseMetadataProvider;0;41;184;1;48;0;0;3;45;18;0;1;1;0;0;0;0;0;1;0
InvokeCommand;0;20;137;0;22;2;0;9;70;0;0;1;1;0;0;0;0;0;1;0
Exe;0;16;97;3;17;0;0;2;26;1;0;0;0;0;0;0;0;0;0;0
Program;0;4;29;0;4;0;0;5;10;0;0;0;0;0;0;0;0;0;0;0
ProjectOptions;0;4;33;0;5;0;0;4;17;1;0;0;0;0;0;0;0;0;0;0
Resources;1;3;102;45;17;0;0;6;52;105;0;0;0;0;0;0;0;0;0;0
AnsiConsole;0;1;6;0;1;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0
AnsiConstants;0;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AnsiTextWriter;0;18;93;0;24;0;0;1;31;19;0;0;0;0;0;0;0;0;0;0
CommandException;0;1;11;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0
CommandArgument;0;1;9;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0
CommandLineApplication;0;71;492;4;93;0;0;11;168;233;2;14;14;0;0;0;3;0;1;0
CommandLineApplicationExtensions;0;3;12;0;3;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0
CommandOption;0;28;102;2;18;0;0;5;35;6;0;0;0;0;0;0;0;0;0;0
CommandParsingException;0;1;6;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0
CommandBase;0;1;23;0;3;0;1;5;12;3;30;1;10;0;0;0;3;0;0;0
HelpCommandBase;0;1;9;0;1;1;1;4;4;0;0;0;0;0;0;0;0;0;0;0
ProductInfo;0;1;8;0;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0
Reporter;0;5;40;0;12;0;0;5;28;16;11;5;5;0;0;0;0;0;0;0
HostFactoryResolver;0;13;87;3;20;0;0;1;41;28;17;4;18;0;0;0;9;0;0;0
GetDocumentCommand;0;8;110;4;10;3;0;8;36;0;14;3;19;0;0;0;7;0;0;0
GetDocumentCommandContext;0;1;9;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
GetDocumentCommandWorker;0;27;231;2;32;0;0;5;76;13;0;0;0;0;0;0;0;0;1;0
ProjectCommandBase;0;4;29;0;5;2;1;5;16;1;0;0;0;0;0;0;0;0;0;0
CSharpIdentifier;0;12;37;11;15;0;0;1;16;6;0;0;0;0;0;0;0;0;0;0
GetCurrentItems;0;1;12;36;1;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0
GetFileReferenceMetadata;0;12;77;22;12;1;0;3;38;0;0;0;0;0;0;0;0;0;0;0
MetadataSerializer;0;13;92;17;17;0;0;2;42;8;0;0;0;0;0;0;0;0;0;0
