ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
ProjectCommandBase;1;1;8;0;1;2;3;5;4;0;0;0;0;0;0;0;0;0;0;0
Exe;1;15;90;0;16;0;0;3;22;1;0;0;0;0;0;0;0;0;0;0
Program;0;4;28;0;4;0;0;5;10;0;0;0;0;0;0;0;0;0;0;0
Project;1;13;143;1;14;0;0;6;43;1;2;3;3;0;0;0;0;0;0;0
ProjectOptions;0;1;34;0;1;0;0;4;8;0;0;0;0;0;0;0;0;0;0;0
Resources;1;2;152;54;10;0;0;23;92;36;0;0;0;0;0;0;0;0;0;0
RootCommand;1;37;238;0;43;1;0;11;119;11;1;3;3;0;0;0;0;0;0;0
CommandArgument;0;1;9;0;0;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0
CommandLineApplication;0;71;492;4;93;0;0;29;164;237;2;14;14;0;0;0;3;0;0;0
CommandLineApplicationExtensions;0;3;12;0;3;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0
CommandOption;0;28;102;2;18;0;0;16;32;6;0;0;0;0;0;0;0;0;0;0
CommandParsingException;0;1;6;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
CommandBase;0;1;24;0;3;0;2;6;12;3;29;1;10;0;0;0;3;0;0;0
ContextCommandBase;0;1;9;0;1;3;8;12;3;0;0;0;0;0;0;0;0;0;0;0
DatabaseCommand;0;1;10;0;1;3;0;3;6;0;0;0;0;0;0;0;0;0;0;0
DbContextCommand;0;1;12;0;1;3;0;3;10;0;0;0;0;0;0;0;0;0;0;0
EFCommandBase;0;1;8;0;1;1;2;4;3;0;0;0;0;0;0;0;0;0;0;0
HelpCommandBase;0;1;14;0;2;2;4;6;5;0;0;0;0;0;0;0;0;0;0;0
MigrationsCommand;0;1;12;0;1;3;0;3;10;0;0;0;0;0;0;0;0;0;0;0
RootCommand;0;1;30;6;3;3;0;6;35;3;16;6;6;0;23;0;0;0;0;0
AnsiConsole;0;1;6;0;1;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0
AnsiConstants;0;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AnsiTextWriter;0;18;93;0;24;0;0;1;31;19;0;0;0;0;0;0;0;0;0;0
CommandException;1;1;11;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
Json;1;2;9;0;3;0;0;9;5;1;0;0;0;0;0;0;0;0;0;0
Reporter;0;5;40;0;12;0;0;7;28;16;11;5;5;0;12;0;0;0;0;0
DatabaseDropCommand;0;1;12;0;1;4;0;4;4;0;0;0;0;0;0;0;0;0;0;0
DatabaseUpdateCommand;0;1;10;0;1;4;0;4;3;0;0;0;0;0;0;0;0;0;0;0
DbContextInfoCommand;0;1;10;0;1;4;0;5;3;0;0;0;0;0;0;0;0;0;0;0
DbContextListCommand;0;1;10;0;1;3;0;5;3;0;0;0;0;0;0;0;0;0;0;0
DbContextScaffoldCommand;0;1;30;0;1;3;0;6;13;0;0;0;0;0;0;0;0;0;0;0
DbContextScriptCommand;0;1;10;0;1;4;0;4;3;0;0;0;0;0;0;0;0;0;0;0
MigrationsAddCommand;0;1;14;0;1;4;0;6;5;0;0;0;0;0;0;0;0;0;0;0
MigrationsListCommand;0;1;10;0;1;4;0;5;3;0;0;0;0;0;0;0;0;0;0;0
MigrationsRemoveCommand;0;1;12;0;1;4;0;5;4;0;0;0;0;0;0;0;0;0;0;0
MigrationsScriptCommand;0;1;16;0;1;4;0;5;6;0;0;0;0;0;0;0;0;0;0;0
NotNullAttribute;0;1;9;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
CanBeNullAttribute;0;1;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
InvokerParameterNameAttribute;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NoEnumerationAttribute;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ContractAnnotationAttribute;0;1;15;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
UsedImplicitlyAttribute;0;1;24;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
StringFormatMethodAttribute;0;1;8;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
DatabaseDropCommand;0;4;30;0;4;4;0;5;16;0;0;0;0;0;0;0;0;0;0;0
DatabaseUpdateCommand;0;1;8;0;1;4;0;5;5;0;0;0;0;0;0;0;0;0;0;0
DbContextInfoCommand;1;2;32;0;4;4;0;6;28;3;0;0;0;0;0;0;0;0;0;0
DbContextListCommand;0;8;55;0;10;3;0;6;26;3;6;4;4;0;0;0;2;0;0;0
DbContextScaffoldCommand;1;6;52;0;8;3;0;7;29;1;0;0;0;0;0;0;0;0;0;0
DbContextScriptCommand;0;4;28;0;4;4;0;5;18;0;0;0;0;0;0;0;0;0;0;0
MigrationsAddCommand;1;3;32;0;5;4;0;7;23;1;0;0;0;0;0;0;0;0;0;0
MigrationsListCommand;0;7;51;0;9;4;0;6;23;3;3;2;2;0;0;0;1;0;0;0
MigrationsRemoveCommand;1;2;20;0;3;4;0;6;17;1;0;0;0;0;0;0;0;0;0;0
MigrationsScriptCommand;1;4;31;0;4;4;0;6;19;0;0;0;0;0;0;0;0;0;0;0
OperationExecutorBase;1;3;154;0;18;0;1;4;64;105;0;0;0;0;0;0;0;0;0;0
Program;1;7;35;0;7;0;0;5;10;0;0;0;0;0;0;0;0;0;0;0
ReflectionOperationExecutor;1;5;74;0;7;1;0;4;24;6;0;0;0;0;0;0;0;0;0;0
WrappedException;0;1;13;0;1;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0
ProductInfo;0;1;6;50;1;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0
