ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
AppliedOptionExtensions;0;3;25;0;5;0;0;0;16;3;13;4;4;0;0;0;0;0;0;0
ArgumentForwardingExtensions;0;2;36;0;7;0;0;0;25;15;18;6;8;0;0;0;0;0;0;0
AspNetCoreCertificateGenerator;0;1;9;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
BuildServerException;0;1;12;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0
BuildServerProvider;0;12;77;8;14;0;0;2;24;1;0;0;0;0;0;0;0;0;0;0
MSBuildServer;0;1;9;10;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
RazorPidFile;0;5;49;0;5;0;0;4;14;0;0;0;0;0;0;0;0;0;0;0
RazorServer;0;5;53;7;5;0;0;2;13;0;0;0;0;0;0;0;0;0;0;0
VBCSCompilerServer;0;2;30;3;2;0;0;1;12;0;0;0;0;0;0;0;0;0;0;0
BuiltInCommandMetadata;0;1;5;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
BuiltInCommandsCatalog;1;1;123;24;0;0;0;27;25;0;0;0;0;0;0;0;0;0;0;0
BundledTargetFramework;0;1;13;0;1;0;0;6;5;0;0;0;0;0;0;0;0;0;0;0
CommandBase;0;1;15;0;2;0;24;31;6;1;0;0;0;0;0;0;0;0;0;0
CommandDirectoryContext;0;3;26;31;4;0;0;9;8;0;0;0;0;0;0;0;0;0;0;0
CommandFactory;0;1;11;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
CommandFactoryUsingResolver;0;5;84;6;8;0;0;7;18;0;0;0;0;0;0;0;0;0;0;0
AbstractPathBasedCommandResolver;0;5;37;0;4;0;4;6;10;1;0;0;0;0;0;0;0;0;0;0
AppBaseCommandResolver;0;1;11;0;1;1;0;2;3;0;0;0;0;0;0;0;0;0;0;0
AppBaseDllCommandResolver;0;4;25;0;4;0;0;2;9;0;0;0;0;0;0;0;0;0;0;0
CommandResolverArguments;0;1;13;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0
CompositeCommandResolver;0;3;31;0;4;0;0;6;6;0;0;0;0;0;0;0;0;0;0;0
DefaultCommandResolverPolicy;0;2;49;0;4;0;0;3;29;3;0;0;0;0;0;0;0;0;0;0
DepsJsonCommandResolver;0;13;199;0;23;0;0;3;68;56;5;6;11;0;1;0;1;0;7;0
DotnetToolsCommandResolver;0;4;36;5;3;0;0;3;12;0;0;0;0;0;0;0;0;0;0;0
GenericPlatformCommandSpecFactory;0;1;12;0;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0
LocalToolsCommandResolver;0;11;80;2;13;0;0;8;34;1;0;0;0;0;0;0;0;0;0;0
LockFileTargetExtensions;0;6;75;1;13;0;0;0;33;26;6;5;5;0;0;0;1;0;1;0
MSBuildProject;0;10;161;0;8;0;0;2;50;4;8;11;14;0;0;0;0;0;2;0
MuxerCommandResolver;0;2;14;0;2;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0
MuxerCommandSpecMaker;0;3;28;0;4;0;0;4;10;1;0;0;0;0;0;0;0;0;0;0
NuGetUtils;0;1;11;0;2;0;0;0;6;1;8;1;1;0;0;0;0;0;0;0
OutputPathCommandResolver;0;7;53;0;8;1;0;4;11;1;0;0;0;0;0;0;0;0;0;0
PackagedCommandSpecFactory;0;11;131;0;15;0;1;3;42;10;0;1;1;0;0;0;0;0;0;0
PackagedCommandSpecFactoryWithCliRuntime;0;5;58;0;7;1;0;5;30;3;0;0;0;0;0;0;0;0;0;0
PathCommandResolver;0;1;9;0;1;1;0;2;3;0;0;0;0;0;0;0;0;0;0;0
PathCommandResolverPolicy;0;2;32;0;4;0;0;1;11;3;0;0;0;0;0;0;0;0;0;0
ProjectDependenciesCommandResolver;1;17;129;0;18;0;0;4;48;0;3;3;5;0;0;0;0;0;1;0
