ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
BestFriendAttribute;0;1;6;0;0;0;0;102;0;0;0;0;0;0;0;0;0;0;0;0
WantsToBeBestFriendsAttribute;0;1;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ArgumentAttribute;0;4;51;29;0;0;1;6;8;0;1;1;1;0;0;0;0;0;0;0
CharCursor;0;9;51;1;7;0;0;5;16;0;0;0;0;0;0;0;0;0;0;0
CmdLexer;0;53;226;8;59;0;0;8;63;0;0;0;0;0;0;0;0;0;0;0
CmdQuoter;0;42;182;12;49;0;0;7;69;13;0;0;0;0;0;0;0;0;0;0
CmdParser;0;415;1828;7;210;0;0;14;675;1453;0;9;9;0;3;0;4;0;0;0
DefaultArgumentAttribute;0;1;9;30;0;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0
EnumValueDisplayAttribute;0;1;10;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
HideEnumValueAttribute;0;1;8;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
SpecialPurpose;0;1;7;56;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
AssemblyLoadingUtils;0;23;228;6;31;0;0;5;59;66;0;0;0;0;0;0;0;0;0;0
ComponentCatalog;0;120;732;18;121;0;0;15;350;592;2;20;20;0;0;0;2;0;0;1
ComponentFactoryUtils;0;1;68;33;4;0;0;1;20;1;0;0;0;0;0;0;0;0;0;0
ExtensionBaseAttribute;0;1;10;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
LoadableClassAttribute;0;1;37;51;0;1;0;2;8;0;0;0;0;0;0;0;0;0;0;0
LoadableClassAttributeBase;0;10;75;31;0;0;2;6;39;0;1;1;1;0;0;0;0;0;0;0
AnnotationBuilderExtensions;0;1;8;63;2;0;0;2;6;1;0;0;0;0;0;0;0;0;0;0
AnnotationUtils;0;57;274;36;78;0;0;7;109;205;0;1;1;0;0;0;0;0;0;0
ColumnTypeExtensions;0;40;104;25;52;0;0;5;33;78;0;0;0;0;0;0;0;0;0;0
InternalDataKindExtensions;0;75;208;15;84;0;0;2;13;8;0;0;0;0;0;0;0;0;0;0
SchemaShape;1;19;134;26;12;0;0;6;52;9;1;2;2;0;0;0;0;0;0;0
SimpleFileHandle;0;15;108;14;16;0;0;1;33;0;0;1;1;0;0;0;0;0;0;0
HostEnvironmentExtensions;0;1;16;27;2;0;0;2;10;1;0;0;0;0;0;0;0;0;0;0
HostExtensions;0;1;29;52;9;0;0;1;19;0;0;0;0;0;0;0;0;0;0;0
ProgressHeader;0;1;16;61;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0
KeyTypeExtensions;0;1;9;25;1;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0
LinkedRootCursorBase;0;4;25;26;3;1;1;4;6;0;0;0;0;0;0;0;0;0;0;0
LinkedRowFilterCursorBase;0;3;23;11;5;3;0;2;7;3;0;0;0;0;0;0;0;0;0;0
LinkedRowRootCursorBase;0;3;23;32;3;2;1;3;8;1;0;0;0;0;0;0;0;0;0;0
ModelLoadContext;0;7;88;40;13;0;0;9;39;0;0;0;0;0;0;0;0;0;0;0
ModelLoadContext;0;26;246;20;39;0;0;9;128;5;0;0;0;0;0;0;0;0;0;0
ModelSaveContext;0;5;142;32;13;0;0;9;69;0;0;0;0;0;0;0;0;0;0;0
ModelSaveContext;0;4;60;17;7;0;0;9;29;1;0;0;0;0;0;0;0;0;0;0
ProgressReporting;0;30;372;28;0;0;0;6;161;37;1;4;4;0;0;0;1;0;0;0
ReadOnlyMemoryUtils;0;41;191;12;50;0;0;5;57;55;0;0;0;0;0;0;0;0;0;0
Repository;0;20;162;26;27;0;2;11;78;29;0;0;0;0;0;0;0;0;0;0
RepositoryWriter;0;11;113;5;17;1;0;7;53;3;0;0;0;0;0;0;0;0;0;0
RepositoryReader;0;8;96;4;11;1;0;6;41;6;0;0;0;0;0;0;0;0;0;0
RoleMappedSchema;0;32;199;38;36;0;0;8;91;26;0;0;0;0;0;0;0;0;0;0
RoleMappedData;0;1;35;53;0;0;0;6;26;0;0;0;0;0;0;0;0;0;0;0
RootCursorBase;0;5;40;25;7;0;1;3;11;1;0;0;0;0;0;0;0;0;0;0
SchemaExtensions;0;2;15;21;3;0;0;1;6;1;0;0;0;0;0;0;0;0;0;0
ServerChannel;0;13;125;39;21;0;0;7;53;20;0;0;0;0;0;0;0;0;0;0
ServerChannelUtilities;0;1;10;47;1;0;0;3;6;0;0;0;0;0;0;0;0;0;0;0
SynchronizedCursorBase;0;4;33;29;5;0;0;5;12;3;0;0;0;0;0;0;0;0;0;0
WrappingRow;0;3;27;40;5;0;0;2;8;3;0;0;0;0;0;0;0;0;0;0
EntryPointModuleAttribute;0;1;8;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0
EntryPointUtils;0;29;84;21;34;0;0;6;42;2;0;0;0;0;0;0;0;0;0;0
TlcModule;0;76;413;27;26;0;0;7;121;37;0;1;1;0;0;0;0;0;0;0
Optional;0;1;10;23;1;0;1;3;2;0;0;0;0;0;0;0;0;0;0;0
PredictorModel;0;1;22;54;5;0;0;7;6;10;0;0;0;0;0;0;0;0;0;0
TransformModel;0;1;20;60;4;0;0;5;5;3;0;0;0;0;0;0;0;0;0;0
ConsoleEnvironment;0;46;362;14;8;2;0;8;143;130;0;1;1;0;0;0;0;0;0;0
ChannelProviderBase;0;5;42;22;4;0;1;4;11;1;0;0;0;0;0;0;0;0;0;0
HostEnvironmentBase;0;32;312;17;41;1;0;8;127;243;0;0;0;0;0;0;0;0;0;0
TelemetryMessage;0;1;24;0;5;0;3;6;10;10;0;0;0;0;0;0;0;0;0;0
TelemetryTrace;0;1;13;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0
TelemetryException;0;1;10;0;0;1;0;3;2;0;0;0;0;0;0;0;0;0;0;0
TelemetryMetric;0;1;13;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0
