ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
MonoCecilDebugInfoProvider;0;14;74;0;6;0;0;0;28;0;1;1;1;0;0;0;0;0;0;0
AboutPage;1;23;235;6;23;1;0;10;113;28;0;1;1;0;0;0;0;0;1;0
AnalyzerScope;0;36;142;3;40;0;0;17;44;13;2;3;3;0;0;0;3;0;2;0
AttributeAppliedToAnalyzer;0;31;172;1;36;0;0;3;64;13;7;14;14;0;0;0;0;0;0;0
EventImplementsInterfaceAnalyzer;0;9;30;0;11;0;0;3;12;3;6;2;2;0;0;0;4;0;0;0
EventOverriddenByAnalyzer;0;11;31;0;13;0;0;3;11;3;8;2;3;0;0;0;0;0;0;0
MethodImplementsInterfaceAnalyzer;0;9;30;0;11;0;0;3;12;3;6;2;2;0;0;0;4;0;0;0
MethodOverriddenByAnalyzer;0;11;33;0;13;0;0;3;11;3;10;2;4;0;0;0;0;0;0;0
MethodVirtualUsedByAnalyzer;0;26;81;0;29;0;0;4;26;6;1;1;1;0;0;0;0;0;1;0
MethodUsedByAnalyzer;0;33;107;1;38;0;0;4;32;13;0;1;1;0;0;0;0;0;1;0
MethodUsesAnalyzer;0;19;92;1;21;0;0;3;27;4;1;1;1;0;0;0;1;0;0;0
PropertyImplementsInterfaceAnalyzer;0;9;30;0;11;0;0;3;12;3;6;2;2;0;0;0;4;0;0;0
PropertyOverriddenByAnalyzer;0;11;31;0;13;0;0;3;11;3;8;2;3;0;0;0;0;0;0;0
TypeExposedByAnalyzer;0;24;84;0;30;0;0;5;23;6;0;0;0;0;0;0;0;0;0;0
TypeInstantiatedByAnalyzer;0;30;86;1;34;0;0;4;28;10;1;1;1;0;0;0;0;0;1;0
TypeUsedByAnalyzer;0;49;123;0;53;0;0;4;47;10;0;0;0;0;0;0;0;0;0;0
TypeDefinitionUsedVisitor;0;3;23;0;4;1;0;2;6;1;0;0;0;0;0;0;0;0;0;0
AnalyzerContext;0;4;22;21;5;0;0;19;5;1;0;0;0;0;0;0;0;0;0;0
ExportAnalyzerAttribute;0;1;9;0;0;2;0;16;1;0;0;0;0;0;0;0;0;0;0;0
AnalyzerTreeView;0;18;111;0;21;11;0;12;49;15;0;1;1;0;0;0;1;0;0;0
AnalyzedAccessorTreeNode;0;2;13;0;0;4;0;1;4;0;0;0;0;0;0;0;0;0;0;0
AnalyzedEventTreeNode;0;9;41;6;10;3;0;4;20;1;2;1;1;0;0;0;0;0;0;0
AnalyzedMethodTreeNode;0;3;24;0;3;3;1;5;11;0;4;1;1;0;0;0;0;0;0;0
AnalyzedPropertyTreeNode;0;5;28;9;5;3;0;4;15;0;3;1;1;0;0;0;0;0;0;0
AnalyzedModuleTreeNode;0;3;22;0;3;3;0;3;9;0;4;1;1;0;0;0;0;0;0;0
AnalyzedTypeTreeNode;0;3;22;0;3;3;0;4;11;0;4;1;1;0;0;0;0;0;0;0
App;1;15;123;4;16;2;0;32;53;13;10;1;15;0;0;0;5;0;1;1
AssemblyList;1;5;88;24;10;0;0;21;38;0;1;1;1;0;0;0;0;0;0;0
AssemblyListManager;0;14;94;6;18;0;0;5;47;3;2;2;2;0;0;0;0;0;0;0
TextMarkerService;0;36;179;2;43;2;0;3;79;0;6;1;13;0;0;0;8;0;0;0
TextMarker;0;9;92;0;4;1;0;2;15;1;0;0;0;0;0;0;0;0;0;0
CheckForUpdatesCommand;0;1;8;0;1;1;0;5;5;0;0;0;0;0;0;0;0;0;0;0
BrowseBackCommand;0;1;8;0;0;1;0;3;3;0;0;0;0;0;0;0;0;0;0;0
BrowseForwardCommand;0;1;8;0;0;1;0;3;3;0;0;0;0;0;0;0;0;0;0;0
CommandLineArguments;0;11;35;2;0;0;0;3;14;0;0;0;0;0;0;0;0;0;0;0
DisassembleAllCommand;0;4;38;0;5;1;0;8;31;1;59;3;55;0;0;0;28;0;0;2
ExitCommand;0;1;8;0;1;1;0;4;5;0;0;0;0;0;0;0;0;0;0;0
CommandWrapper;0;2;29;0;4;0;6;9;6;0;0;0;0;0;0;0;0;0;0;0
ILSpyCommands;0;1;4;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
OpenListCommand;0;2;11;0;2;1;0;5;7;0;0;0;0;0;0;0;0;0;0;0
Pdb2XmlCommand;0;6;31;0;8;1;0;9;20;1;45;4;26;0;0;0;22;0;1;0
Pdb2XmlCommandContextMenuEntry;0;4;15;0;6;0;0;5;7;3;6;1;1;0;0;0;1;0;0;0
RemoveAssembliesWithLoadErrors;0;6;17;0;7;1;0;8;11;1;5;1;1;0;0;0;0;0;0;0
ShowCFGContextMenuEntry;0;4;22;0;6;0;0;3;8;0;0;0;0;0;0;0;0;0;0;0
ShowDebugSteps;0;1;8;0;1;1;0;4;4;0;0;0;0;0;0;0;0;0;0;0
SortAssemblyListCommand;0;1;14;0;2;1;0;7;10;1;0;0;0;0;0;0;0;0;0;0
CollapseAllCommand;0;3;19;0;3;1;0;5;9;0;0;0;0;0;0;0;0;0;0;0
BoolToVisibilityConverter;0;5;17;0;6;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
CustomDialog;0;10;109;14;7;6;0;1;30;1;0;0;0;0;0;0;0;0;0;0
GridViewColumnAutoSize;0;10;54;3;13;0;0;2;18;4;1;1;1;0;0;0;1;0;0;0
ControlColor;0;5;28;17;4;1;0;0;8;0;0;0;0;0;0;0;0;0;0;0
ResourceObjectTable;0;4;31;3;6;8;0;0;10;3;0;0;0;0;0;0;0;0;0;0
DockedPane;0;7;42;0;9;6;0;2;17;3;0;0;0;0;0;0;0;0;0;0
DecompileAllCommand;0;4;38;0;5;1;0;8;28;1;59;3;55;0;0;0;28;0;0;2
Decompile100TimesCommand;0;3;25;0;3;1;0;9;18;0;53;3;29;0;0;0;24;0;0;0
ExportToolbarCommandAttribute;0;1;14;0;0;2;0;7;1;0;0;0;0;0;0;0;0;0;0;0
ExportMainMenuCommandAttribute;0;1;20;0;0;2;0;19;1;0;0;0;0;0;0;0;0;0;0;0
ExtensionMethods;0;5;37;15;4;0;0;0;12;1;0;0;0;0;0;0;0;0;0;0
SearchBox;0;11;97;0;17;8;0;3;38;17;0;0;0;0;0;0;0;0;0;0
SortableGridViewColumn;0;25;146;0;34;3;0;4;55;37;0;0;0;0;0;0;0;0;0;0
ColumnSortDirectionToVisibilityConverter;0;2;11;0;3;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0
CreateListDialog;0;2;25;0;3;8;0;1;6;0;0;0;0;0;0;0;0;0;0;0
PortableDebugInfoProvider;0;9;64;0;10;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0
DebugSteps;0;13;117;0;22;8;0;8;29;19;6;2;8;0;5;0;0;0;0;2
ILSpyTraceListener;0;9;71;11;12;3;0;1;33;1;4;3;3;0;0;0;2;0;0;1
AssertionFailedException;0;1;4;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
DecompilationOptions;0;3;39;40;2;0;0;35;11;0;0;0;0;0;0;0;0;0;0;0
ExtensionMethods;0;22;102;17;33;0;0;2;38;15;0;0;0;0;0;0;0;0;0;0
FilterSettings;0;10;104;18;6;0;0;19;35;6;0;1;1;0;0;0;0;0;0;0
Fusion;0;2;24;22;4;0;0;1;6;3;0;0;0;0;0;0;0;0;0;0
GacInterop;0;12;58;35;14;0;0;4;25;3;0;0;0;0;0;0;0;0;0;0
GuessFileType;0;23;100;11;24;0;0;1;13;1;0;0;0;0;0;0;0;0;0;0
TextViewContext;0;6;28;46;6;0;0;17;7;0;0;0;0;0;0;0;0;0;0;0
ExportContextMenuEntryAttribute;0;1;15;6;0;2;0;12;1;0;0;0;0;0;0;0;0;0;0;0
ContextMenuProvider;0;12;99;10;17;0;0;10;36;10;1;2;2;0;0;0;0;0;0;0
CSharpILMixedLanguage;0;12;111;4;3;2;0;3;55;17;1;2;2;0;1;0;0;0;0;0
