ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
AuthenticationResult;0;1;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ProviderAuthenticationResult;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PasswordPinCreationResult;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Channel;0;6;59;3;12;2;0;8;21;15;0;0;0;0;0;0;0;0;0;0
ChannelItemInfo;0;1;49;0;0;0;0;2;10;0;0;0;0;0;0;0;0;0;0;0
ChannelItemResult;0;1;9;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
ChannelSearchInfo;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ChannelLatestMediaSearch;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
InternalChannelFeatures;0;1;17;63;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
InternalChannelItemQuery;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CollectionCreationOptions;0;1;15;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0
CollectionCreatedEventArgs;0;1;5;61;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0
CollectionModifiedEventArgs;0;1;5;61;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0
CameraImageUploadInfo;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ImageCollageOptions;0;1;7;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ImageHelper;0;12;56;1;14;0;0;3;12;3;0;0;0;0;0;0;0;0;0;0
ImageProcessingOptions;0;23;80;0;26;0;0;3;17;3;1;1;1;0;0;0;1;0;0;0
ImageProcessorExtensions;0;2;16;0;3;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0
ImageStream;0;2;12;40;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
DtoOptions;0;4;45;0;4;0;0;8;16;1;4;2;2;0;0;0;0;0;0;0
AggregateFolder;0;14;125;14;24;2;0;11;47;41;1;2;2;0;0;0;0;0;0;0
AudioBook;0;1;41;0;7;2;0;2;7;21;0;0;0;0;0;0;0;0;0;0
Audio;1;11;117;9;16;1;1;11;27;28;0;0;0;0;0;0;0;0;0;0
MusicAlbum;1;18;167;4;23;2;0;14;55;34;2;5;5;0;0;0;0;0;1;0
MusicArtist;0;12;154;8;27;2;0;16;55;99;1;2;2;0;0;0;0;0;0;0
MusicGenre;0;4;77;10;14;1;0;7;32;43;0;0;0;0;0;0;0;0;0;0
BaseItem;1;264;1987;15;350;0;13;63;656;5323;8;67;189;0;8;0;30;0;9;0
BaseItemExtensions;1;7;61;33;12;0;0;1;23;6;3;2;2;0;0;0;1;0;0;0
BasePluginFolder;1;1;17;26;2;2;0;3;2;1;0;0;0;0;0;0;0;0;0;0
Book;0;2;48;0;8;1;0;2;12;21;2;1;1;0;0;0;0;0;0;0
CollectionFolder;0;27;258;7;47;2;0;8;96;159;3;10;10;0;0;0;1;0;0;0
DayOfWeekHelper;0;22;55;0;23;0;0;1;33;0;0;0;0;0;0;0;0;0;0;0
Extensions;0;4;26;10;4;0;0;1;9;0;3;1;1;0;0;0;0;0;0;0
Folder;1;212;1253;9;256;1;13;42;338;1077;5;21;70;0;0;0;19;0;4;2
Genre;0;4;75;10;14;1;0;7;32;43;0;0;0;0;0;0;0;0;0;0
HasTrailerExtensions;0;1;9;30;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
InternalItemsQuery;0;4;210;0;3;0;0;18;42;0;0;1;1;0;0;0;0;0;0;0
InternalPeopleQuery;0;1;14;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
ItemImageInfo;0;2;10;54;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0
LinkedChild;1;2;26;10;2;0;0;8;7;0;0;0;0;0;0;0;0;0;0;0
LinkedChildComparer;0;2;20;0;3;0;0;1;5;1;0;0;0;0;0;0;0;0;0;0
